 Austin Blind Salamander; Eurycea waterlooensis
 African Clawed Frog; Xenopus laevis
 Atlantic Coast Slimy Salamander; Plethodon chlorobryonis
 Apalachicola Dusky Salamander; Desmognathus apalachicolae
 Amargosa Toad; Anaxyrus nelsoni
 American Bullfrog; Lithobates catesbeianus
 Allegheny Mountain Dusky Salamander; Desmognathus ochrophaeus
 American Toad; Anaxyrus americanus
 Antillean Frog; Eleutherodactylus antillensis
 Arboreal Salamander; Aneides lugubris
 Arroyo Toad; Anaxyrus californicus
 Arizona Toad; Anaxyrus microscaphus
 Arizona Treefrog; Hyla wrightorum
 Western Barking Frog; Craugastor augusti cactorum
 Balcones Barking Frog; Craugastor augusti latrans
 Barking Frog; Craugastor augusti
 Barking Treefrog; Hyla gratiosa
 Black-bellied Slender Salamander; Batrachoseps nigriventris
 Berry Cave Salamander; Gyrinophilus gulolineatus
 Baja California Treefrog; Pseudacris hypochondriaca
 Black-bellied Salamander; Desmognathus quadramaculatus
 Blue Ridge Gray-cheeked Salamander; Plethodon amplus
 Big Levels Salamander; Plethodon sherando
 Speckled Black Salamander; Aneides flavipunctatus flavipunctatus
 Santa Cruz Black Salamander; Aneides flavipunctatus niger
 Black Salamander; Aneides flavipunctatus
 Blanco Blind Salamander; Eurycea robusta
 Black Toad; Anaxyrus exsul
 Black Mountain Salamander; Desmognathus welteri
 Boreal Chorus Frog; Pseudacris maculata
 Boreal Toad; Anaxyrus boreas boreas
 Southern California Toad; Anaxyrus boreas halophilus
 Western Toad; Anaxyrus boreas
 Blue Ridge Dusky Salamander; Desmognathus orestes
 Brimley's Chorus Frog; Pseudacris brimleyi
 Blue Ridge Two-lined Salamander; Eurycea wilderae
 Black-spotted Newt; Notophthalmus meridionalis
 Barton Springs Salamander; Eurycea sosorum
 Gray Tiger Salamander; Ambystoma mavortium diaboli
 Blotched Tiger Salamander; Ambystoma mavortium melanostictum
 Arizona Tiger Salamander; Ambystoma mavortium nebulosum
 Sonoran Tiger Salamander; Ambystoma mavortium stebbinsi
 Barred Tiger Salamander; Ambystoma mavortium
 Burrowing Coqui; Eleutherodactylus unicolor
 Blue-spotted Salamander; Ambystoma laterale
 Burrowing Toad; Rhinophrynus dorsalis
 Bird-voiced Treefrog; Hyla avivoca
 Black Warrior River Waterdog; Necturus alabamensis
 Bay Springs Salamander; Plethodon ainsworthi
 Cane Toad; Rhinella marinus
 Calfifornia Giant Salamander; Dicamptodon ensatus
 Canadian Toad; Anaxyrus hemiophrys
 California Treefrog; Pseudacris cadaverina
 Comal Blind Salamander; Eurycea tridentifera
 Cliff Chirping Frog; Eleutherodactylus marnockii
 Cascade Caverns Salamander; Eurycea latitans
 Sierra Newt; Taricha torosa sierrae
 Coast Range Newt; Taricha torosa torosa
 California Newt; Taricha torosa
 Cope's Giant Salamander; Dicamptodon copei
 Cope's Gray Treefrog; Hyla chrysoscelis
 Chamberlain's Dwarf Salamander; Eurycea chamberlaini
 Cheoah Bald Salamander; Plethodon cheoah
 Channel Islands Slender Salamander; Batrachoseps pacificus
 Cow Knob Salamander; Plethodon punctatus
 Chiricahua Leopard Frog; Lithobates chiricahuensis
 Clouded Salamander; Aneides ferreus
 Carolina Mountain Dusky Salamander; Desmognathus carolinensis
 Caddo Mountain Salamander; Plethodon caddoensis
 Cheat Mountain Salamander; Plethodon nettingi
 Common Coqui; Eleutherodactylus coqui
 Columbia Spotted Frog; Rana luteiventris
 Coastal Giant Salamander; Dicamptodon tenebrosus
 Coeur D'alene Salamander; Plethodon idahoensis
 Couch's Spadefoot; Scaphiopus couchii
 Cumberland Plateau Salamander; Plethodon kentucki
 Cricket Coqui; Eleutherodactylus gryllus
 Carpenter Frog; Lithobates virgatipes
 Cascades Frog; Rana cascadae
 California Slender Salamander; Batrachoseps attenuatus
 Chattahoochee Slimy Salamander; Plethodon chattahoochee
 Coastal Tailed Frog; Ascaphus truei
 California Tiger Salamander; Ambystoma californiense
 Columbia Torrent Salamander; Rhyacotriton kezeri
 Cascade Torrent Salamander; Rhyacotriton cascadae
 Cumberland Dusky Salamander; Desmognathus abditus
 Cuban Treefrog; Osteopilus septentrionalis
 Cave Salamander; Eurycea lucifuga
 Crawfish Frog; Lithobates areolatus
 Canyon Treefrog; Hyla arenicolor
 Dark-sided Salamander; Eurycea aquatica
 Dwarf Black-bellied Salamander; Desmognathus folkertsi
 Dusky Gopher Frog; Lithobates sevosus
 Del Norte Salamander; Plethodon elongatus
 Dunn's Salamander; Plethodon dunni
 Dwarf Salamander; Eurycea quadridigitata
 Dwarf Waterdog; Necturus punctatus
 Eastern Newt; Notophthalmus viridescens
 Eastern Spadefoot; Scaphiopus holbrookii
 Eneida's Coqui; Eleutherodactylus eneidae
 Eastern Narrow-mouthed Toad; Gastrophryne carolinensis
 Ensatina; Ensatina eschscholtzii
 Eastern Red-backed Salamander; Plethodon cinereus
 Eastern Tiger Salamander; Ambystoma tigrinum
 Florida Bog Frog; Lithobates okaloosae
 Fern Bank Salamander; Eurycea pterophila
 Frosted Flatwoods Salamander; Ambystoma cingulatum
 Fourch Mountain Salamander; Plethodon fourchensis
 Fowler's Toad; Anaxyrus fowleri
 Four-toed Salamander; Hemidactylium scutatum
 Foothill Yellow-legged Frog; Rana boylii
 Georgia Blind Salamander; Haideotriton wallacei
 Great Basin Spadefoot; Spea intermontana
 Gulf Coast Toad; Ollotis nebulifer
 Georgetown Salamander; Eurycea naufragia
 Gregarious Salamander; Batrachoseps gregarius
 Greenhouse Frog; Eleutherodactylus planirostris
 Giant Toad; Bufo marinus
 Gabilan Mountains Slender Salamander; Batrachoseps gavilanensis
 Gopher Frog; Lithobates capito
 Golden Coqui; Eleutherodactylus jasperi
 Great Plains Toad; Anaxyrus cognatus
 Grass Coqui; Eleutherodactylus brittoni
 Green Frog; Lithobates clamitans
 Ground Coqui; Eleutherodactylus richmondi
 Green Salamander; Aneides aeneus
 Greater Siren; Siren lacertina
 Green Toad; Anaxyrus debilis
 Green Treefrog; Hyla cinerea
 Grotto Salamander; Eurycea spelaea
 Desert Slender Salamander; Batrachoseps major aridus
 Garden Slender Salamander; Batrachoseps major
 Gulf Coast Waterdog; Necturus beyeri
 Gray Treefrog; Hyla versicolor
 Eastern Hellbender; Cryptobranchus alleganiensis alleganiensis
 Ozark Hellbender; Cryptobranchus alleganiensis bishopi
 Hellbender; Cryptobranchus alleganiensis
 Hell Hollow Slender Salamander; Batrachoseps diabolicus
 Houston Toad; Anaxyrus houstonensis
 Hurter's Spadefoot; Scaphiopus hurterii
 Idaho Giant Salamander; Dicamptodon aterrimus
 Illinois Chorus Frog; Pseudacris illinoensis
 Imitator Salamander; Desmognathus imitator
 Inyo Mountains Salamander; Batrachoseps campi
 Jefferson Salamander; Ambystoma jeffersonianum
 Jemez Mountains Salamander; Plethodon neomexicanus
 Jollyville Plateau Salamander; Eurycea tonkawae
 Junaluska Salamander; Eurycea junaluska
 Kern Canyon Slender Salamander; Batrachoseps simatus
 Kern Plateau Salamander; Batrachoseps robustus
 Kings River Slender Salamander; Batrachoseps regius
 Kiamichi Slimy Salamander; Plethodon kiamichi
 Louisiana Slimy Salamander; Plethodon kisatchie
 Lowland Burrowing Treefrog; Smilisca fodiens
 Eastern Lesser Siren; Siren intermedia intermedia
 Western Lesser Siren; Siren intermedia nettingi
 Lesser Siren; Siren intermedia
 Little Grass Frog; Pseudacris ocularis
 Limestone Salamander; Hydromantes brunus
 Lowland Leopard Frog; Lithobates yavapaiensis
 Larch Mountain Salamander; Plethodon larselli
 Lesser Slender Salamander; Batrachoseps minor
 Long-tailed Salamander; Eurycea longicauda
 Santa Cruz Long-toed Salamander; Ambystoma macrodactylum croceum
 Long-toed Salamander; Ambystoma macrodactylum
 Marbled Salamander; Ambystoma opacum
 Mabee's Salamander; Ambystoma mabeei
 Mountain Chorus Frog; Pseudacris brachyphona
 Mona Coqui; Eleutherodactylus monensis
 Mink Frog; Lithobates septentrionalis
 Many-lined Salamander; Stereochilus marginatus
 Mount Lyell Salamander; Hydromantes platycephalus
 Mole Salamander; Ambystoma talpoideum
 Many-ribbed Salamander; Eurycea multiplicata
 Mississippi Slimy Salamander; Plethodon mississippi
 Mudpuppy; Necturus maculosus
 Mud Salamander; Pseudotriton montanus
 Mexican White-lipped Frog; Leptodactylus fragilis
 Mexican Spadefoot; Spea multiplicata
 Mexican Treefrog; Smilisca baudinii
 Northern Cricket Frog; Acris crepitans
 Northern Dusky Salamander; Desmognathus fuscus
 Northern Dwarf Siren; Pseudobranchus striatus
 Northern Gray-cheeked Salamander; Plethodon montanus
 New Jersey Chorus Frog; Pseudacris kalmi
 Northern Leopard Frog; Lithobates pipiens
 Northwestern Salamander; Ambystoma gracile 
 Northern Pacific Treefrog; Pseudacris regilla
 Northern red-legged frog; Rana aurora
 Northern Ravine Salamander; Plethodon electromorphus
 Neuse River Waterdog; Necturus lewisi
 Northern Slimy Salamander; Plethodon glutinosus
 Northern Two-lined Salamander; Eurycea bislineata
 Northern Zigzag Salamander; Plethodon dorsalis
 Oak Toad; Anaxyrus quercicus
 Ornate Chorus Frog; Pseudacris ornata
 Ocoee Salamander; Desmognathus ocoee
 Ocmulgee Slimy Salamander; Plethodon ocmulgee
 Ouachita Dusky Salamander; Desmognathus brimleyorum
 Oklahoma Salamander; Eurycea tynerensis
 Oregon Spotted Frog; Rana pretiosa
 Oregon Slender Salamander; Batrachoseps wrightorum
 One-toed Amphiuma; Amphiuma pholeter
 Olympic Torrent Salamander; Rhyacotriton olympicus
 Ozark Zigzag Salamander; Plethodon angusticlavius
 Pine Barrens Treefrog; Hyla andersonii
 Pacific Chorus Frog; Pseudacris regilla 
 Pickerel Frog; Lithobates palustris
 Pig Frog; Lithobates grylio
 Plains Leopard Frog; Lithobates blairi
 Plains Spadefoot; Spea bombifrons
 Pigeon Mountain Salamander; Plethodon petraeus
 Peaks Of Otter Salamander; Plethodon hubrichti
 Puerto Rican Coqui; Eleutherodactylus portoricensis
 Puerto Rican Crested Toad; Bufo lemur
 Pine Woods Treefrog; Hyla femoralis
 Pygmy Salamander; Desmognathus wrighti
 Red-bellied Newt; Taricha rivularis
 Rock Coqui; Eleutherodactylus cooki
 Red-cheeked Salamander; Plethodon jordani
 Red-legged Frog; Rana aurora 
 Red Salamander; Pseudotriton ruber
 Reticulated Flatwoods Salamander; Ambystoma bishopi
 Rio Grande Chirping Frog; Eleutherodactylus cystignathoides
 Rio Grande Leopard Frog; Lithobates berlandieri
 Red Hills Salamander; Phaeognathus hubrichti
 River Frog; Lithobates heckscheri
 Ringed Salamander; Ambystoma annulatum
 Relict Leopard Frog; Lithobates onca
 Red-legged Salamander; Plethodon shermani
 Rich Mountain Salamander; Plethodon ouachitae
 Roughskin Newt; Taricha granulosa 
 Rocky Mountain Tailed Frog; Ascaphus montanus
 Rough-skinned Newt; Taricha granulosa
 Relictual Slender Salamander; Batrachoseps relictus
 Red-spotted Toad; Anaxyrus punctatus
 Santeetlah Dusky Salamander; Desmognathus santeetlah
 Salado Salamander; Eurycea chisholmensis
 Southern Cricket Frog; Acris gryllus
 Scott Bar Salamander; Plethodon asupak
 South Carolina Slimy Salamander; Plethodon variolatus
 Shenandoah Salamander; Plethodon shenandoah
