Name;Hex triplet;Red;Green;Blue;Hue;Satur;Light;Satur;Value;W3C name
Air Force blue (RAF);#5D8AA8;36%;54%;66%;204°;30%;51%;45%;66%; 
Air Force blue (USAF);#00308F;0%;19%;56%;220°;100%;28%;100%;56%; 
Air superiority blue;#72A0C1;45%;63%;76%;205°;39%;60%;41%;76%; 
Alabama Crimson;#A32638;64%;15%;22%;350°;62%;39%;80%;60%; 
Alice blue;#F0F8FF;94%;97%;100%;208°;100%;97%;6%;100%; 
Alizarin crimson;#E32636;89%;15%;21%;355°;77%;52%;83%;89%; 
Alloy orange;#C46210;77%;38%;6%;27°;85%;42%;92%;77%; 
Almond;#EFDECD;94%;87%;80%;30°;52%;87%;14%;94%; 
Amaranth;#E52B50;90%;17%;31%;348°;78%;53%;81%;90%; 
Amazon;#3B7A57;23%;48%;34%;147°;35%;36%;52%;48%; 
Amber;#FFBF00;100%;75%;0%;45°;100%;50%;100%;100%; 
SAE/ECE Amber (color);#FF7E00;100%;49%;0%;30°;100%;50%;100%;100%; 
American rose;#FF033E;100%;1%;24%;345°;100%;51%;99%;87%; 
Amethyst;#9966CC;60%;40%;80%;270°;50%;60%;50%;80%; 
Android Green;#A4C639;64%;78%;22%;74°;55%;50%;71%;78%; 
Anti-flash white;#F2F3F4;95%;95%;96%;210°;8%;95%;1%;96%; 
Antique brass;#CD9575;80%;58%;46%;22°;47%;63%;43%;80%; 
Antique bronze;#665D1E;40%;36%;12%;53°;55%;26%;71%;40%; 
Antique fuchsia;#915C83;57%;36%;51%;316°;22%;47%;37%;57%; 
Antique ruby;#841B2D;52%;11%;18%;350°;66%;31%;80%;52%; 
Antique white;#FAEBD7;98%;92%;84%;34°;78%;91%;14%;98%; 
Ao (English);#008000;0%;50%;0%;120°;100%;25%;100%;50%; 
Apple green;#8DB600;55%;71%;0%;74°;100%;36%;100%;71%; 
Apricot;#FBCEB1;98%;81%;69%;24°;90%;84%;29%;98%; 
Aqua;#00FFFF;0%;100%;100%;160°;100%;50%;100%;100%; 
Aquamarine;#7FFFD4;50%;100%;83%;160°;100%;75%;50%;100%; 
Army green;#4B5320;29%;33%;13%;69°;44%;23%;61%;33%; 
Arsenic;#3B444B;23%;27%;29%;206°;12%;26%;21%;29%; 
Arylide yellow;#E9D66B;91%;84%;42%;51°;74%;67%;54%;91%; 
Ash grey;#B2BEB5;70%;75%;71%;135°;9%;72%;6%;75%; 
Asparagus;#87A96B;53%;66%;42%;93°;27%;54%;37%;66%; 
Atomic tangerine;#FF9966;100%;60%;40%;20°;100%;70%;60%;100%; 
Auburn;#A52A2A;65%;16%;16%;0°;59%;41%;74%;64%; 
Aureolin;#FDEE00;99%;93%;0%;56°;100%;50%;100%;99%; 
AuroMetalSaurus;#6E7F80;43%;50%;50%;183°;8%;47%;14%;50%; 
Avocado;#568203;34%;51%;1%;81°;96%;26%;98%;51%; 
Azure;#007FFF;0%;50%;100%;210°;100%;50%;100%;100%; 
Azure mist/web;#F0FFFF;94%;100%;100%;180°;100%;97%;6%;100%; 
Baby blue;#89CFF0;54%;81%;94%;199°;77%;74%;43%;94%; 
Baby blue eyes;#A1CAF1;63%;79%;95%;209°;74%;79%;33%;95%; 
